train_loss,val_loss,val_acc,val_auroc,val_auroc_15,val_calibration_error,val_f1,val_mcc,val_prec,val_recall,train_acc,train_auroc,train_auroc_15,train_calibration_error,train_f1,train_mcc,train_prec,train_recall,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.6022515296936035,0.7278040647506714,0.4375,0.5416666269302368,0.48019447922706604,0.14516282081604004,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.6830357313156128,0.4980317950248718,0.5102099776268005,0.19840900599956512,0.8041295409202576,0.03739571571350098,0.7154787182807922,0.9211514592170715,0,7,1742361831,checkpoint_000000,True,False,1,929a5_00032,2025-03-19_05-23-51,19.667945384979248,19.667945384979248,106059,0e90493e41c6,172.17.0.2,19.667945384979248,1
0.5948939919471741,0.7509089708328247,0.4375,0.5476190447807312,0.4830544888973236,0.17934948205947876,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7165178656578064,0.45839691162109375,0.5081842541694641,0.15614141523838043,0.8330056071281433,0.10034031420946121,0.7207103371620178,0.9908814430236816,1,14,1742361841,checkpoint_000001,True,False,2,929a5_00032,2025-03-19_05-24-01,10.229362964630127,29.897308349609375,106059,0e90493e41c6,172.17.0.2,29.897308349609375,2
0.5707265138626099,0.7937445640563965,0.4375,0.4920634925365448,0.45945945382118225,0.22742962837219238,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.71875,0.4747786819934845,0.5199743509292603,0.11389514058828354,0.8357630372047424,0.12347008287906647,0.71875,1.0,2,21,1742361851,checkpoint_000002,True,False,3,929a5_00032,2025-03-19_05-24-11,9.868679285049438,39.76598763465881,106059,0e90493e41c6,172.17.0.2,39.76598763465881,3
0.6405125856399536,0.8094472289085388,0.4375,0.4771825671195984,0.45945945382118225,0.24142175912857056,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7165178656578064,0.5194270014762878,0.5196501016616821,0.10670160502195358,0.8341713547706604,0.12197143584489822,0.7165178656578064,1.0,3,28,1742361861,checkpoint_000003,True,False,4,929a5_00032,2025-03-19_05-24-21,10.050270557403564,49.81625819206238,106059,0e90493e41c6,172.17.0.2,49.81625819206238,4
0.5322406888008118,0.8444197177886963,0.4375,0.4305555522441864,0.46088945865631104,0.2684577703475952,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.734375,0.5336907505989075,0.535438597202301,0.1021757647395134,0.8445955514907837,0.1379362791776657,0.734375,1.0,4,35,1742361871,checkpoint_000004,True,False,5,929a5_00032,2025-03-19_05-24-31,10.104347229003906,59.920605421066284,106059,0e90493e41c6,172.17.0.2,59.920605421066284,5
0.5741859078407288,0.9517226219177246,0.4375,0.4652777910232544,0.46803945302963257,0.33548563718795776,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7254464030265808,0.5418100953102112,0.538810670375824,0.05700920149683952,0.84061199426651,0.12712247669696808,0.7254464030265808,1.0,5,42,1742361881,checkpoint_000005,True,False,6,929a5_00032,2025-03-19_05-24-41,9.90955901145935,69.83016443252563,106059,0e90493e41c6,172.17.0.2,69.83016443252563,6
0.5218783617019653,0.8849682807922363,0.4375,0.5416666865348816,0.4959245026111603,0.30117306113243103,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.71875,0.5760040283203125,0.5388787388801575,0.0704006776213646,0.8357506394386292,0.12329993396997452,0.71875,1.0,6,49,1742361891,checkpoint_000006,True,False,7,929a5_00032,2025-03-19_05-24-51,9.914186239242554,79.74435067176819,106059,0e90493e41c6,172.17.0.2,79.74435067176819,7
0.5902751088142395,0.8806377053260803,0.4375,0.5734127163887024,0.5137995481491089,0.3013368844985962,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7142857313156128,0.5688238739967346,0.5437400341033936,0.0510297529399395,0.8322662711143494,0.1213189885020256,0.7142857313156128,1.0,7,56,1742361901,checkpoint_000007,True,False,8,929a5_00032,2025-03-19_05-25-01,10.23986530303955,89.98421597480774,106059,0e90493e41c6,172.17.0.2,89.98421597480774,8
0.5481136441230774,0.9191029667854309,0.4375,0.6001983880996704,0.5466895699501038,0.32460615038871765,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.71875,0.6043267846107483,0.5992199778556824,0.0825711339712143,0.834769606590271,0.12748093903064728,0.71875,1.0,8,63,1742361912,checkpoint_000008,True,False,9,929a5_00032,2025-03-19_05-25-12,10.124287843704224,100.10850381851196,106059,0e90493e41c6,172.17.0.2,100.10850381851196,9
0.6810867786407471,0.8176942467689514,0.4375,0.4642857313156128,0.56456458568573,0.25133705139160156,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7075892686843872,0.529759407043457,0.5409632921218872,0.06994792819023132,0.8273687362670898,0.11799542605876923,0.7075892686843872,1.0,9,70,1742361921,checkpoint_000009,True,False,10,929a5_00032,2025-03-19_05-25-21,9.855289220809937,109.9637930393219,106059,0e90493e41c6,172.17.0.2,109.9637930393219,10
0.6021127700805664,0.8169209957122803,0.4375,0.5,0.5164092779159546,0.24956631660461426,0.6086956262588501,-0.0314970389008522,0.4375,1.0,0.7209821343421936,0.5409491062164307,0.5481911301612854,0.03824075683951378,0.8373526334762573,0.12500013411045074,0.7209821343421936,1.0,10,77,1742361931,checkpoint_000010,True,False,11,929a5_00032,2025-03-19_05-25-31,9.946191787719727,119.90998482704163,106059,0e90493e41c6,172.17.0.2,119.90998482704163,11
